video_file,duration_sec,frames_total,frames_processed,valid_face_frames,coverage_ratio,total_blinks,blinks_per_second,avg_left_eye_width_mm,avg_left_eye_width_cm,avg_left_eye_height_mm,avg_left_eye_height_cm,avg_right_eye_width_mm,avg_right_eye_width_cm,avg_right_eye_height_mm,avg_right_eye_height_cm,avg_face_width_mm,avg_face_width_cm,avg_face_height_mm,avg_face_height_cm,avg_nose_width_mm,avg_nose_width_cm,avg_nose_height_mm,avg_nose_height_cm,avg_mouth_width_mm,avg_mouth_width_cm,avg_mouth_height_mm,avg_mouth_height_cm
GX010399.MP4,2.2355666666666667,67,67,67,1.0,2,0.894627760299402,28.27865968331597,2.8278659683315968,7.715668937418734,0.7715668937418734,29.845876982605173,2.9845876982605173,8.111608546613912,0.8111608546613912,149.48692121692042,14.948692121692043,168.29620458248286,16.829620458248286,45.43061696642495,4.543061696642495,49.93795493302043,4.993795493302043,52.54540620588889,5.254540620588889,2.2775490538353065,0.22775490538353066
GX010400.MP4,142.0419,4257,4257,4192,0.9847310312426591,85,0.5984149747363278,29.707836331973446,2.9707836331973447,7.378578275674465,0.7378578275674464,28.706159583170034,2.8706159583170034,7.784723860020361,0.7784723860020362,149.3905514804049,14.93905514804049,164.23655426798214,16.423655426798213,45.58948496865272,4.558948496865272,51.96096116525695,5.196096116525695,49.972515789582104,4.997251578958211,1.2752661148166375,0.12752661148166375
GX010401.MP4,133.8337,4011,4011,3954,0.9857890800299177,72,0.5379810914590272,28.792389392630696,2.8792389392630695,7.445482468261524,0.7445482468261524,29.091471891164513,2.9091471891164513,7.71725634361421,0.7717256343614209,147.80786248066923,14.780786248066923,165.46614846993157,16.546614846993158,45.29612740869539,4.529612740869539,51.30303644231237,5.130303644231237,49.230752851454966,4.923075285145496,1.315722389151284,0.1315722389151284
GX010402.MP4,132.36556666666667,3967,3967,3854,0.9715149987396017,82,0.6194964601821169,29.673524464045094,2.9673524464045093,7.138410393730108,0.7138410393730108,29.385237232282204,2.9385237232282204,7.168095995584487,0.7168095995584487,152.17883257096847,15.217883257096847,171.72170209181766,17.172170209181765,45.991474590719505,4.5991474590719505,52.53495132360208,5.253495132360208,50.41668545593915,5.041668545593915,1.4275575639090943,0.14275575639090943
GX010403.MP4,189.5894,5682,5682,5077,0.893523407250968,147,0.7753598038708914,31.22269251939985,3.122269251939985,6.580622190615792,0.6580622190615791,27.89824143680688,2.789824143680688,6.344293562552603,0.6344293562552603,150.54332969881796,15.054332969881795,171.00835735287768,17.100835735287767,44.84846806689552,4.484846806689552,53.91426895057222,5.391426895057222,48.79165615417824,4.879165615417824,1.473207392917167,0.14732073929171668
GX010404.MP4,227.56066666666666,6820,6820,6448,0.9454545454545454,282,1.2392299782329108,31.836180515560528,3.183618051556053,6.444388126613756,0.6444388126613756,26.875510985215463,2.6875510985215465,6.684519167387137,0.6684519167387137,150.1297302352182,15.01297302352182,169.12804067269127,16.91280406726913,45.1814553006573,4.51814553006573,55.16666826544134,5.516666826544133,48.427835018861316,4.842783501886132,1.2527054915720608,0.1252705491572061
GX010405.MP4,235.76886666666667,7066,7066,6719,0.9508915935465609,293,1.2427425390912512,32.10975742628608,3.210975742628608,6.101920463981944,0.6101920463981945,24.99589459957934,2.4995894599579342,6.526650978223392,0.6526650978223392,151.62703260063688,15.162703260063688,175.91988488298776,17.591988488298774,45.98706673860273,4.598706673860272,55.94689931412804,5.594689931412804,47.9979481679316,4.79979481679316,1.3241621293451613,0.13241621293451614
GX010406.MP4,137.30383333333333,4115,4115,4030,0.9793438639125152,139,1.0123533817336976,31.460444775339443,3.1460444775339442,5.417210425865763,0.5417210425865763,29.433888802093584,2.9433888802093584,5.442285707303925,0.5442285707303924,155.41321103003736,15.541321103003735,176.887926632017,17.688792663201703,46.814371164574474,4.681437116457447,54.906713961047686,5.490671396104768,50.58181352011464,5.058181352011465,1.5946756087409444,0.15946756087409444
GX010407.MP4,119.88643333333333,3593,3593,3551,0.9883106039521291,109,0.9091937842285741,30.685083432725282,3.068508343272528,6.031738889070009,0.603173888907001,28.575686077759755,2.8575686077759754,6.436515882420455,0.6436515882420455,151.40512315885803,15.140512315885804,169.45172165092185,16.945172165092185,45.68498669726594,4.568498669726594,54.05198678741508,5.405198678741508,49.31429363592636,4.9314293635926365,1.1938039300562917,0.11938039300562917
GX010408.MP4,141.5414,4242,4242,4098,0.9660537482319661,151,1.0668256778582097,30.231384083834108,3.023138408383411,6.590547495896893,0.6590547495896893,29.829044909554828,2.982904490955483,6.906505353279861,0.690650535327986,150.7502791435669,15.07502791435669,164.09956146032,16.409956146032,45.122940540066715,4.512294054006672,51.31988022250452,5.131988022250452,48.72036327165838,4.872036327165838,1.6318565454268021,0.16318565454268022
GX010410.MP4,130.4303,3909,3909,3825,0.9785111281657713,104,0.7973607359639594,31.192169243374988,3.1192169243374988,7.377677231563798,0.7377677231563797,28.47955288010734,2.847955288010734,6.97631810790076,0.6976318107900761,152.56621702566605,15.256621702566605,174.32439363603177,17.432439363603176,47.29006709005795,4.7290067090057955,54.96737409328023,5.496737409328023,50.526170929129584,5.052617092912959,2.073314023652939,0.2073314023652939
GX010415.MP4,131.5314,3942,3942,3893,0.9875697615423643,120,0.9123296794529672,32.468007680035726,3.2468007680035726,6.528873396916865,0.6528873396916864,29.52284665445512,2.9522846654455117,7.031231410643239,0.7031231410643239,156.8668139860927,15.68668139860927,173.1796242364776,17.31796242364776,48.21906120528535,4.821906120528535,56.359746337893625,5.635974633789362,52.75576621729915,5.275576621729915,2.2230625845092593,0.22230625845092594
GX010416.MP4,268.0678,8034,8034,7948,0.9892954941498631,202,0.7535407087311494,31.65795853182548,3.165795853182548,6.166928486107959,0.6166928486107959,29.19964316611103,2.919964316611103,6.554389946698044,0.6554389946698044,156.69889775996035,15.669889775996035,171.96205033559573,17.196205033559572,46.03599720850645,4.603599720850645,54.204374559534266,5.420437455953427,51.62120324171034,5.162120324171034,1.9183380920325301,0.19183380920325302
GX010417.MP4,296.5963,8889,8889,8077,0.9086511418607267,329,1.1092518686173767,33.71890462385186,3.371890462385186,5.7158399904985595,0.5715839990498559,25.214783150808227,2.521478315080823,6.3383529991985315,0.6338352999198531,152.53180248085036,15.253180248085036,176.84410987879988,17.68441098787999,46.28500899623296,4.628500899623296,56.93727941031207,5.693727941031208,48.00052766225696,4.800052766225695,1.5266523455163103,0.15266523455163103
GX010418.MP4,253.5533,7599,7599,6119,0.8052375312541123,309,1.2186786762388815,33.60441241953539,3.360441241953539,5.505020697545414,0.5505020697545414,26.382823395197608,2.638282339519761,6.28054835391496,0.628054835391496,158.37369832715044,15.837369832715044,181.41483380001188,18.141483380001187,47.866098238285645,4.786609823828565,57.64827802172795,5.764827802172794,50.12340168054579,5.012340168054579,2.061548024055111,0.2061548024055111
GX010419.MP4,1.2345666666666666,37,37,37,1.0,0,0.0,27.1013675061669,2.71013675061669,9.551918923110271,0.9551918923110272,28.33977979014285,2.8339779790142847,9.870243888127426,0.9870243888127426,138.9155907498803,13.891559074988029,162.2214219775468,16.222142197754682,42.46955908071774,4.246955908071774,49.3578940130791,4.935789401307909,48.6159139385817,4.86159139385817,6.844919180976561,0.6844919180976561
GX010420.MP4,1.3013000000000001,39,39,39,1.0,0,0.0,28.251315412996636,2.8251315412996636,9.606802474082315,0.9606802474082314,29.18019719826878,2.918019719826878,9.575379101963687,0.9575379101963687,143.82879609583767,14.382879609583767,168.86558653595208,16.88655865359521,43.26360170739698,4.326360170739698,50.76782250719332,5.076782250719332,50.04583665869744,5.004583665869744,4.53916410016753,0.453916410016753
GX010421.MP4,495.3281666666667,14845,14845,13609,0.9167396429774335,567,1.14469565463166,33.98591357781862,3.398591357781862,5.884573461569986,0.5884573461569986,24.97254329660458,2.497254329660458,6.744317788910959,0.674431778891096,154.1328214477023,15.41328214477023,180.92871892183686,18.092871892183688,46.09648163837432,4.6096481638374325,57.7463897099635,5.77463897099635,47.99784370007583,4.7997843700075835,1.6516672752124777,0.16516672752124778
GX010422.MP4,128.96216666666666,3865,3865,3640,0.9417852522639069,122,0.9460138826244907,32.929346091968384,3.2929346091968386,5.389544969607836,0.5389544969607836,28.814532397378024,2.8814532397378025,6.168242924705197,0.6168242924705197,157.84368328056595,15.784368328056596,177.47885765298523,17.747885765298523,47.43595899098641,4.743595899098641,55.10822088972307,5.510822088972307,51.639666582466646,5.163966658246665,2.265398068377288,0.2265398068377288
GX010423.MP4,123.2231,3693,3693,3309,0.8960194963444355,97,0.7871900642006247,31.13183336146941,3.113183336146941,7.186867815908978,0.7186867815908978,28.394066351764035,2.8394066351764033,7.565407832829316,0.7565407832829316,153.2389870698679,15.32389870698679,167.90300009094028,16.79030000909403,46.13171549065426,4.6131715490654255,54.182465570685686,5.418246557068569,50.690271074161735,5.069027107416174,2.0733364949587023,0.20733364949587024
GX010424.MP4,242.37546666666668,7264,7264,7090,0.976046255506608,229,0.9448150967974756,34.03928649508254,3.4039286495082544,5.987811944770154,0.5987811944770154,27.795006572908008,2.779500657290801,6.090992166928493,0.6090992166928493,157.22866725266874,15.722866725266874,178.04938210446102,17.804938210446103,47.37149732646849,4.7371497326468495,56.8619096388742,5.68619096388742,51.216844607222555,5.121684460722255,1.5072768668633136,0.15072768668633135
GX010425.MP4,222.75586666666666,6676,6676,6535,0.9788795686039544,217,0.9741606506136165,31.058413219720805,3.1058413219720804,6.940171142006784,0.6940171142006785,28.14427443196197,2.8144274431961973,6.690182174778298,0.6690182174778297,153.61901436571216,15.361901436571216,170.62814962619163,17.062814962619164,45.27075622991612,4.527075622991612,53.107306222685764,5.310730622268577,51.5740771679903,5.15740771679903,1.6680146305667232,0.16680146305667232
GX010427.MP4,221.95506666666668,6652,6652,6639,0.9980457005411906,217,0.977675361319378,30.43151098941178,3.043151098941178,6.926243174314723,0.6926243174314723,28.486543564502796,2.8486543564502798,7.131167064800703,0.7131167064800703,155.5476963452906,15.55476963452906,174.91339280014915,17.491339280014916,45.63611529462308,4.5636115294623085,53.37402588914116,5.337402588914116,49.78417779377117,4.978417779377117,1.6892537485550767,0.16892537485550768
GX010428.MP4,302.46883333333335,9065,9065,8784,0.9690016547159405,296,0.9786132235111826,34.37468640769389,3.4374686407693895,5.338935802357706,0.5338935802357706,27.5917715215333,2.75917715215333,5.609831850965594,0.5609831850965594,157.05384306706674,15.705384306706673,181.05873942789515,18.105873942789515,47.55367785430068,4.755367785430068,57.04390689303253,5.704390689303253,51.72209372234904,5.172209372234904,1.7039684393404655,0.17039684393404655
GX010429.MP4,32.2322,966,966,942,0.9751552795031055,44,1.3650945327963961,33.42771209904902,3.342771209904902,5.4093350839556145,0.5409335083955614,27.412147763557112,2.741214776355711,5.480207650710692,0.5480207650710691,160.09906491959183,16.009906491959182,187.13424228548058,18.713424228548057,47.637506096108055,4.763750609610805,56.52992065938435,5.652992065938435,52.590969647501346,5.259096964750134,1.500756915436038,0.1500756915436038
GX010430.MP4,96.62986666666667,2896,2896,2881,0.9948204419889503,139,1.4384786484233998,33.887347380674484,3.3887347380674484,5.546739558003951,0.5546739558003951,27.064714492722548,2.7064714492722546,5.878293079918493,0.5878293079918493,159.62204200900953,15.962204200900953,184.10995188578568,18.410995188578568,47.2722938305014,4.7272293830501395,56.113335807688934,5.6113335807688935,52.20799121930434,5.220799121930434,1.5512449032040305,0.15512449032040304
GX010431.MP4,193.05953333333335,5786,5786,4766,0.82371240926374,253,1.3104765956476983,32.414267137910706,3.2414267137910704,6.2226054059781495,0.622260540597815,26.259496020652602,2.62594960206526,6.656472833969608,0.6656472833969608,152.39460774127147,15.239460774127148,176.78454941698413,17.678454941698412,46.403607900438736,4.640360790043873,56.608968048718644,5.660896804871864,49.239750985589346,4.923975098558935,1.579800130581226,0.1579800130581226
GX010432.MP4,48.38166666666667,1450,1450,1419,0.9786206896551725,70,1.4468290330359295,37.438295567485696,3.7438295567485698,4.674038473817778,0.4674038473817778,26.04552725017344,2.604552725017344,5.101187281591834,0.5101187281591834,161.97948333050778,16.19794833305078,192.947770297333,19.2947770297333,48.549590190138794,4.854959019013879,58.823933638269594,5.882393363826959,52.8247923031851,5.2824792303185095,1.3442000839285695,0.13442000839285695
GX010433.MP4,64.3643,1929,1929,1879,0.9740798341109383,55,0.8545109633756601,32.489357407617916,3.248935740761792,6.440947272461252,0.6440947272461253,28.11985048812476,2.8119850488124762,6.337618368665587,0.6337618368665587,158.04796184959574,15.804796184959574,182.85765609900363,18.285765609900363,47.41930194656204,4.741930194656204,56.850522534730125,5.685052253473012,52.52405813753961,5.2524058137539615,2.326545672208717,0.2326545672208717
